dpif, texto
569500, "Baja térmica en la península que rompe parcialmente el bloqueo anticiclónico. Vientos térmicos locales asociados a valles", "Baja térmica"
959490, "Continental sahariana. Posibilidad de tormentas convectivas. La causa del incendio fue un rayo, así que muy probablemente es lo que pasó", "Baja térmica"
1090647, "Situación anticiclónica con advención del Este", "Advención del Este"
938900, "Situación ciclónica con advención del Noroeste", "Advención del Noroeste"
574208, "Bloqueo anticiclónico con advención del Este. La estación de Talayuela registra viento del Este por la mañana y viento térmico de valle del Suroeste por la tarde", "Advención del Este"
1121534, "Bloqueo anticiclónico con advención del Este y baja térmica en la península que puede ocasionar tormentas convectivas. Incendio de rayo", "Advención del Este"
998782, "Anticiclón de las Azores pinzado hacia el norte con entrada de aire frío desde el Noroeste. Posibilidad de vientos muy fuertes en cumbre que no se ven reflejados en la estación de Talayuela", "Advención del Noroeste"
1090703, "Bloqueo anticiclónico con advención del Este", "Advención del Este"
574154, "Bloqueo anticiclónico con advención del Este", "Advención del Este"
1090485, "Situación ciclónica con advención del Suroeste", "Advención del Suroeste"
1106714, "Bloqueo anticiclónico con advención del Este. Capas de aire frío en altura, inestabilidad atmosférica", "Advención del Este"
978209, "Bloqueo anticiclónico con advención del Este", "Advención del Este"
1063432, "Bloqueo anticiclónico con adevención del Este. Capas de aire frío en altura, inestabilidad atmosférica", "Advención del Este"
1122505, "Baja térmica en la península", "Baja térmica"
1102170, "Advención del Este. Embolsamiento de aire frío en las Canarias", "Advención del Este"
919968, "Debilitamiento del anticiclón de las Azores que permite entrada de una borrasca por Galicia y advención de Noroeste", "Advención del Noroeste"
1122656, "Baja térmica en la península", "Baja térmica"
1170273, "Situación anticiclónica con advención del Noreste y embolsamiento de aire frío en capas altas. Inestabilida atmosférica", "Advención del Noreste"
1164099, "Situación anticiclónica con advención del Noroeste. Vientos fuertes en cumbres", "Advención del Noroeste"
1117775, "Bloqueo anticiclónico con advención del Este y capas frías en altura. Inestabilidad atmosférica", "Advención del Este"
